label;LE_max;S_max
29824;0.00128375;275.166
29825;0.000731142;159.583
29826;0.00129448;271.326
29827;0.00136129;286.36
29828;0.00137801;292.189
29829;0.00166706;365.793
29830;0.00076316;166.537
29831;0.00138834;291.816
29832;0.000793559;171.417
29833;0.00140997;297.204
29834;0.000637755;141.324
29835;0.000804726;174.827
29836;0.00101148;193.692
29837;0.0011921;235.011
29838;0.000773446;139.938
29839;0.00102537;197.211
29840;0.00107645;226.51
29841;0.000952741;201.874
29842;0.00112156;235.566
29843;0.000790439;171.484
29844;0.000734889;160.521
29845;0.000763127;166.623
29846;0.00110046;231.418
29847;0.00105706;222.446
29848;0.00109755;230.751
29849;0.00115397;238.785
29850;0.00117676;239.404
29851;0.00115089;236.077
29852;0.00116787;237.527
29853;0.000768795;167.742
29854;0.000992267;205.164
29855;0.000880599;187.478
29856;0.00103524;213.353
29857;0.00104161;214.767
29858;0.00104756;213.231
29859;0.00106584;218.199
29860;0.00110783;227.191
29861;0.000723459;158.334
29862;0.00104743;212.649
29863;0.00106299;218.322
29864;0.000748538;161.54
29865;0.000733861;160.904
29866;0.000764463;166.806
29867;0.00101785;209.886
29868;0.00108008;227.366
29869;0.000756345;164.666
29870;0.00065808;145.944
29871;0.000925048;196.424
29872;0.000873394;186.877
29873;0.00111017;233.354
29874;0.000646795;142.916
29875;0.000688877;151.752
29876;0.00076824;167.639
29877;0.00108853;229.414
29878;0.00104776;221.331
29879;0.000753063;164.147
29880;0.00112215;234.331
29881;0.00114279;238.822
29882;0.000863668;183.971
29883;0.00113558;236.939
29884;0.00113528;236.093
29885;0.00113956;238.48
29886;0.0011349;238.033
29887;0.000934621;193.929
29888;0.000732413;142.796
29889;0.000931581;193.456
29890;0.000944451;197.326
29891;0.000900788;184.584
29892;0.000909181;182.612
29893;0.000688122;151.659
29894;0.000760357;161.367
29895;0.000831298;174.393
29896;0.0009015;182.151
29897;0.000880884;181.936
29898;0.000679941;149.657
29899;0.000767322;166.671
29900;0.000726226;159.28
29901;0.000550392;125.054
29902;0.00076602;160.848
29903;0.00085495;176.935
29904;0.000665226;147.276
29905;0.000880433;177.868
29906;0.000829084;172.252
29907;0.000868356;181.705
29908;0.000868338;181.959
29909;0.000452856;93.3891
29910;0.000454291;100.081
29911;0.00070876;155.091
29912;0.00100633;210.89
29913;0.000895926;185.452
